"id","Name","Amount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","BUA14 IGAY MEGA COCKPIT ARENA-ARENA","","December 7, 2021 4:47 PM","612667","638745","1251412","1348016","305","62570.6","40790","40790","0","0","0","100","0","100","2","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","305","0","25335.24","0","0","0","0","0","0","0","","","","Ojie","0","0"
"26","BUA15 BIGTE COCKPIT ARENA-ARENA","","December 7, 2021 4:47 PM","585362","688949","1274311","1281973","639","63715.55","123339","123339","0","0","0","1560","0","1560","31.2","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","639","0","26156.42","0","0","0","0","0","0","0","","","","Ojie","0","0"
"27","BUA17 TRIPLE A KUZURI GAMEHOUSE INC.-ARENA","","December 7, 2021 4:47 PM","832601","793664","1626265","1170834","0","81313.25","244481","244481","0","0","0","620","0","620","12.4","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","0","0","32537.7","0","0","0","0","0","0","0","","","","Ojie","0","0"
"28","BUA18 BUSTOS COCKPIT ARENA-ARENA","","December 7, 2021 4:47 PM","206100","150750","356850","329966","0","17842.5","15310","15310","0","0","0","0","0","0","0","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","0","0","7137","0","0","0","0","0","0","0","","","","ojie","0","0"
"29","CBA01 VICTORIO COCKPIT-ARENA","","December 7, 2021 4:47 PM","408510","448673","857183","840905","0","42859.15","30498","30498","0","0","0","4260","0","4260","85.2","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","0","0","17228.86","0","0","0","0","0","0","0","","","","NOT","0","0"
"30","CBA02 NEW GALLERA DE MANDAUE COCKPIT ARENA-ARENA","","December 7, 2021 4:47 PM","215632","235948","451580","418683","492","22579","47258","47258","0","0","0","200","0","200","4","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","492","0","9527.6","0","0","0","0","0","0","0","","","","NOT","0","0"
"31","CBA03 INNOTECH VENTURES INC. (SIBONGA ARENA)-ARENA","","December 7, 2021 4:47 PM","296789","290805","587594","594627","0","29379.7","25534","25534","2584","0","0","7141","0","4557","142.82","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","0","0","11894.7","0","0","0","0","0","0","0","","","","Gallo/Inno","0","0"
"32","CBA04 MAHAYAHAY COCKPIT I (CARLOCK)-ARENA","","December 7, 2021 4:47 PM","184786","175765","360551","308041","0","18027.55","10572","10572","0","0","0","100","0","100","2","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","0","0","7213.02","0","0","0","0","0","0","0","","","","NOT","0","0"
"33","CBA05 NEW GALLERA DE CORDOVA-ARENA","","December 7, 2021 4:47 PM","571668","594181","1165849","1067238","316","58292.45","84886","84886","1600","0","0","4706","0","3106","94.12","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","316","0","23727.1","0","0","0","0","0","0","0","","","","NOT","0","0"
"34","CBA06 INNOTECH VENTURES INC. (NORTHERN AMUSEMENT CENTER )-ARENA","","December 7, 2021 4:47 PM","589931","507679","1097610","1049598","0","54880.5","79676","79676","0","0","0","1200","0","1200","24","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","0","0","21976.2","0","0","0","0","0","0","0","","","","Gallo/Inno","0","0"
